nom_usina,id_estado,id_subsistema
Conj. Abil I,BA,NE
Conj. Abil II,BA,NE
Conj. Araçás,BA,NE
Conj. BW Guirapá I,BA,NE
Conj. BW Guirapá II,BA,NE
Conj. Babilônia,BA,NE
Conj. Babilônia Sul,BA,NE
Conj. Brotas de Macaúbas,BA,NE
Conj. Caetité,BA,NE
Conj. Caetité 123,BA,NE
Conj. Caetité A,BA,NE
Conj. Caetité Norte,BA,NE
Conj. Campo Formoso,BA,NE
Conj. Campo Largo,BA,NE
Conj. Campo Largo 2,BA,NE
Conj. Canudos I,BA,NE
Conj. Casa Nova,BA,NE
Conj. Cristal,BA,NE
Conj. Cristalândia,BA,NE
Conj. Delfina,BA,NE
Conj. Eolico Serra do Assurua,BA,NE
Conj. Eólico Campo Largo,BA,NE
Conj. Eólico Igaporã III 500kV,BA,NE
Conj. Eólico Pindaí II 230kV,BA,NE
Conj. Folha de Serra,BA,NE
Conj. Igaporã II,BA,NE
Conj. Laranjeiras,BA,NE
Conj. Morrão,BA,NE
Conj. Novo Horizonte,BA,NE
Conj. Pedra Branca,BA,NE
Conj. Pelourinho,BA,NE
Conj. Quina,BA,NE
Conj. Santa Eugênia,BA,NE
Conj. Serra da Babilônia,BA,NE
Conj. Tanque Novo,BA,NE
Conj. Tucano,BA,NE
Conj. Umburanas,BA,NE
Conj. Ventos da Bahia,BA,NE
Conj. Ventos da Bahia 2,BA,NE
Conj. Ventos da Bahia III,BA,NE
Conj. Ventos de São Vitor,BA,NE
Conjunto Eólico Babilonia Centro,BA,NE
Cataventos Acaraú I,CE,NE
Conj. Acaraú II,CE,NE
Conj. Cacimbas,CE,NE
Conj. Faísa,CE,NE
Conj. Icaraí,CE,NE
Conj. Itarema V,CE,NE
Conj. Jandaia,CE,NE
Conj. Pedra Cheirosa,CE,NE
Conj. Pitombeira,CE,NE
Conj. Santa Rosália,CE,NE
Conj. Santo Inácio,CE,NE
Conj. Serra do Mato,CE,NE
Conj. Serrote A,CE,NE
Conj. Taíba,CE,NE
Conj. Trairí,CE,NE
Icaraizinho,CE,NE
Malhadinha 1,CE,NE
Praia Formosa,CE,NE
Conj. Chafariz Norte,PB,NE
Conj. Chafariz Sul I,PB,NE
Conj. Chafariz Sul II,PB,NE
Conj. Serra do Seridó,PB,NE
Conj. São Clemente,PE,NE
Conj. Tacaratu (Eólico),PE,NE
Conj. Tacaratu II,PE,NE
Conj. Araripe III,PI,NE
Conj. Lagoa do Barro I,PI,NE
Conj. Oitis,PI,NE
Conj. São Basílio (Eólico),PI,NE
Conj. São Roque,PI,NE
Alegria I,RN,NE
Alegria II,RN,NE
Baixa do Sítio,RN,NE
Conj. Acauã,RN,NE
Conj. Afonso Bezerra,RN,NE
Conj. Amazonas,RN,NE
Conj. Anemus,RN,NE
Conj. Areia Branca,RN,NE
Conj. Asa Branca,RN,NE
Conj. Aventura,RN,NE
Conj. Baixa do Feijão,RN,NE
Conj. Brisa Potiguar I,RN,NE
Conj. Cabeço Preto II,RN,NE
Conj. Caju,RN,NE
Conj. Calango 1,RN,NE
Conj. Calango 2,RN,NE
Conj. Calango 3,RN,NE
Conj. Campo dos Ventos,RN,NE
Conj. Carcará II,RN,NE
Conj. Carnaúbas,RN,NE
Conj. Cumaru,RN,NE
Conj. Cutia,RN,NE
Conj. Eólico Mossoró II 230kV,RN,NE
Conj. Filgueira,RN,NE
Conj. Gameleira,RN,NE
Conj. Jandaíra I,RN,NE
Conj. Jandaíra III,RN,NE
Conj. Jerusalém,RN,NE
Conj. Macacos,RN,NE
Conj. Mangue Seco,RN,NE
Conj. Modelo,RN,NE
Conj. Monte Verde,RN,NE
Conj. Morro dos Ventos,RN,NE
Conj. Morro dos Ventos II,RN,NE
Conj. Mundo Novo,RN,NE
Conj. Oeste Serido,RN,NE
Conj. Olho d'Água,RN,NE
Conj. Renascença,RN,NE
Conj. Renascença V,RN,NE
Conj. Riachão,RN,NE
Conj. Santa Clara,RN,NE
Conj. Santa Rosa Mundo Novo,RN,NE
Conj. Santo Agostinho,RN,NE
Conj. Serra de Santana 1 e 2,RN,NE
Conj. Serra de Santana 3,RN,NE
Conj. Serra do Mel A,RN,NE
Conj. Serra do Mel B,RN,NE
Conj. Serra do Mel II A,RN,NE
Conj. Serra do Mel II B,RN,NE
Conj. São Miguel,RN,NE
Conj. Terra Santa,RN,NE
Conj. União dos Ventos,RN,NE
Miassaba 3,RN,NE
Mundo Novo VI,RN,NE
Rei dos Ventos 1,RN,NE
Rei dos Ventos 3,RN,NE
São Fernando 4,RN,NE
Conj. Atlântica,RS,S
Conj. Cerro Chato,RS,S
Conj. Lagoa dos Barros,RS,S
Elebrás Cidreira 1,RS,S
Xangri-lá,RS,S
Conj. Bom Jardim,SC,S
Conj. Água Doce,SC,S
